Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 3 First Name,Author 3 Last Name,Author 4 First Name,Author 4 Last Name,Author 5 First Name,Author 5 Last Name,Author 6 First Name,Author 6 Last Name,Author 7 First Name,Author 7 Last Name,Author 8 First Name,Author 8 Last Name,Author 9 First Name,Author 9 Last Name,Author 2 Affiliation,Author 3 Affiliation,Author 4 Affiliation,Author 5 Affiliation,Author 6 Affiliation,Author 7 Affiliation,Author 8 Affiliation,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Collective Author 1,Collective Author 2,Collective Author 3,Collective Author 4,Collective Author 5,Collective Author 6
fast segmentation through surface fairing (fastsurf): a novel semi-automatic hippocampus segmentation method,https://pubmed.ncbi.nlm.nih.gov/30657776/,18,01,2019,PloS one,14,1,1932-6203,Fabian,Bartel,"Department of Radiology and Nuclear Medicine, VU University Medical Center, Amsterdam, The Netherlands.",Hugo,Vrenken,Marcel,van Herk,Michiel,de Ruiter,Jose,Belderbos,Joost,Hulshof,Jan C,de Munck,,,,,"Department of Radiology and Nuclear Medicine, VU University Medical Center, Amsterdam, The Netherlands.","Manchester Cancer Research Centre, Division of Cancer Science, School of Medical Sciences, Faculty of Biology, Medicine and Health, University of Manchester, Manchester Academic Health Sciences Centre, Manchester, United Kingdom.","Division of Psychosocial Research and Epidemiology, Netherlands Cancer Institute, Amsterdam, The Netherlands.","Department of Radiotherapy, Netherlands Cancer Institute, Amsterdam, The Netherlands.","Department of Mathematics, VU University Amsterdam, Amsterdam, The Netherlands.","Department of Radiology and Nuclear Medicine, VU University Medical Center, Amsterdam, The Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluation of treatment candidacy in older adults with cancer,https://pubmed.ncbi.nlm.nih.gov/28602415/,15,07,2017,"International journal of radiation oncology, biology, physics",98,4,1879-355X,Joe C,Huang,"Division of Gerontology and Geriatric Medicine, Department of Medicine, University of Washington School of Medicine, Seattle, Washington. Electronic address: joehuang@uw.edu.",Upendra,Parvathaneni,,,,,,,,,,,,,,,"Department of Radiation Oncology, University of Washington School of Medicine, Seattle, Washington.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree-type algorithm for statistical analysis in chronic toxicity studies,https://pubmed.ncbi.nlm.nih.gov/9779409/,XX,08,1998,The Journal of toxicological sciences,23,3,0388-1350,C,Hamada,"Department of Pharmacoepidemiology, Faculty of Medicine, University of Tokyo, Japan.",K,Yoshino,K,Matsumoto,M,Nomura,I,Yoshimura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pain and bone metastases,https://pubmed.ncbi.nlm.nih.gov/19070823/,XX,11,2008,Progres en urologie : journal de l'Association francaise d'urologie et de la Societe francaise d'urologie,18 Suppl 7,,1166-7087,J,Wassermann,"Service de Médecine B, Centre René Huguenin, 35 Rue Dailly, 92210 Saint Cloud, France.",B,De La Lande,A,Pecking,L,Brasseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
practice guidelines of the use of bisphosphonates in solid tumours with bone metastases and in multiple myeloma,https://pubmed.ncbi.nlm.nih.gov/21376431/,03,03,2011,La Revue de medecine interne,32,8,1768-3122,J F,Brantus,"Service de rhumatologie, centre hospitalier de Villefranche/Saône, BP 436, 69655 Villefranche/Saône cedex, France. jfbrantus@ch-villefranche.fr",C,Roemer-Becuwe,P,Cony-Makhoul,S,Salino,A,Fontana,P,Debourdeau,T,Thomas,J P,Guastalla,H,Ghesquieres,,,,,,,,,C,Sebban,,M,Pavic,,P,Collet,,J P,Larbre,,S,Martinon,,F,Brocard,,A G,Bodard,,G,Blanc,,V,Balestrière,,B,Favier,,F,Farsi,,I,Krakowski,,P,Biron,,,,,Réseau régional Rhône-Alpin (GIP ONCORA),,,,,
current management of small bowel obstruction,https://pubmed.ncbi.nlm.nih.gov/21954676/,XX,XX,2011,Advances in surgery,45,,0065-3411,Martin Donald,Zielinski,"Department of Surgery, Mayo Clinic, 200 1st Street SW, Rochester, MN 55905, USA. zielinski.martin@mayo.edu",Michael Patrick,Bannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contribution of percutaneous acrylic vertebroplasty for tumor-related spinal cord compression,https://pubmed.ncbi.nlm.nih.gov/15547487/,XX,09,2004,Neuro-Chirurgie,50,4,0028-3770,J,Peltier,"Service de Neurochirurgie, CHU Nord, Amiens. jojo.peltier@caramail.com",P,Toussaint,H,Deramond,C,Desenclos,D,Le Gars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work disability and its determinants in patients with pituitary tumor-related disease,https://pubmed.ncbi.nlm.nih.gov/30288666/,XX,12,2018,Pituitary,21,6,1573-7403,Daniel J,Lobatto,"Department of Neurosurgery, Leiden University Medical Center, Albinusdreef 2, 2333 ZA, Leiden, The Netherlands. d.j.lobatto@lumc.nl.",Anath N V,Steffens,Amir H,Zamanipoor Najafabadi,Cornelie D,Andela,Alberto M,Pereira,Wilbert B,van den Hout,Wilco C,Peul,Thea P M,Vliet Vlieland,Nienke R,Biermasz,"Department of Neurosurgery, Leiden University Medical Center, Albinusdreef 2, 2333 ZA, Leiden, The Netherlands.","Department of Neurosurgery, Leiden University Medical Center, Albinusdreef 2, 2333 ZA, Leiden, The Netherlands.","Division of Endocrinology and Center for Endocrine Tumors, Department of Medicine, Leiden University Medical Center, Leiden, The Netherlands.","Division of Endocrinology and Center for Endocrine Tumors, Department of Medicine, Leiden University Medical Center, Leiden, The Netherlands.","Medical Decision Making, Department of Biomedical Data Sciences, Leiden University Medical Center, Leiden, The Netherlands.","Department of Neurosurgery, Leiden University Medical Center, Albinusdreef 2, 2333 ZA, Leiden, The Netherlands.","Department of Orthopedic Surgery, Leiden University Medical Center, Leiden, The Netherlands.","Division of Endocrinology and Center for Endocrine Tumors, Department of Medicine, Leiden University Medical Center, Leiden, The Netherlands.",Wouter R,van Furth,"Department of Neurosurgery, Leiden University Medical Center, Albinusdreef 2, 2333 ZA, Leiden, The Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
online monitoring and error detection of real-time tumor displacement prediction accuracy using control limits on respiratory surrogate statistics,https://pubmed.ncbi.nlm.nih.gov/22482625/,XX,04,2012,Medical physics,39,4,0094-2405,Kathleen,Malinowski,"Fischell Department of Bioengineering, University of Maryland, College Park, MD, USA.",Thomas J,McAvoy,Rohini,George,Sonja,Dieterich,Warren D,D'Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccafu recommendations 2013: testicular germ cell cancer,https://pubmed.ncbi.nlm.nih.gov/24485289/,XX,11,2013,Progres en urologie : journal de l'Association francaise d'urologie et de la Societe francaise d'urologie,23 Suppl 2,,1166-7087,X,Durand,Membres du CCAFU-OGE (Comité de cancérologie de l'Association française d'urologie - sous-comité Organes génitaux externes et rétropéritoine).,J,Rigaud,C,Avancès,P,Camparo,A,Fléchon,T,Murez,P,Sèbe,S,Culine,F,Iborra,Membres du CCAFU-OGE (Comité de cancérologie de l'Association française d'urologie - sous-comité Organes génitaux externes et rétropéritoine). Electronic address: jerome.rigaud@chu-nantes.fr.,Membres du CCAFU-OGE (Comité de cancérologie de l'Association française d'urologie - sous-comité Organes génitaux externes et rétropéritoine).,Membres du CCAFU-OGE (Comité de cancérologie de l'Association française d'urologie - sous-comité Organes génitaux externes et rétropéritoine).,Membres du CCAFU-OGE (Comité de cancérologie de l'Association française d'urologie - sous-comité Organes génitaux externes et rétropéritoine).,Membres du CCAFU-OGE (Comité de cancérologie de l'Association française d'urologie - sous-comité Organes génitaux externes et rétropéritoine).,Membres du CCAFU-OGE (Comité de cancérologie de l'Association française d'urologie - sous-comité Organes génitaux externes et rétropéritoine).,Membres experts du CCAFU-OGE (Comité de cancérologie de l'Association française d'urologie - sous-comité Organes génitaux externes et rétropéritoine).,Membres experts du CCAFU-OGE (Comité de cancérologie de l'Association française d'urologie - sous-comité Organes génitaux externes et rétropéritoine).,N,Mottet,Membres experts du CCAFU-OGE (Comité de cancérologie de l'Association française d'urologie - sous-comité Organes génitaux externes et rétropéritoine).,P,Coloby,Membres experts du CCAFU-OGE (Comité de cancérologie de l'Association française d'urologie - sous-comité Organes génitaux externes et rétropéritoine).,M,Soulié,Membres du CCAFU-OGE (Comité de cancérologie de l'Association française d'urologie - sous-comité Organes génitaux externes et rétropéritoine).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Les membres du CCAFU,,,,,
fallacy of the five-year survival in lung cancer,https://pubmed.ncbi.nlm.nih.gov/714117/,21,12,1978,The New England journal of medicine,299,25,0028-4793,B J,McNeil,,R,Weichselbaum,S G,Pauker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
objective consensus from decision trees,https://pubmed.ncbi.nlm.nih.gov/25476988/,05,12,2014,"Radiation oncology (London, England)",9,,1748-717X,Paul Martin,Putora,"Department of Radiation Oncology, Kantonsspital St. Gallen, Rorschacherstr. 95, 9007, St. Gallen, Switzerland. paul.putora@kssg.ch.",Cedric M,Panje,Alexandros,Papachristofilou,Alan,Dal Pra,Thomas,Hundsberger,Ludwig,Plasswilm,,,,,,,"Department of Radiation Oncology, Kantonsspital St. Gallen, Rorschacherstr. 95, 9007, St. Gallen, Switzerland. cedric.panje@kssg.ch.","Department of Radiation Oncology, University Hospital Basel, Basel, Switzerland. palex80@yahoo.com.","Department of Radiation Oncology, Inselspital, University Hospital Bern, Bern, Switzerland. alan.dalpra@insel.ch.","Department of Neurology and Haematology & Oncology, Kantonsspital St. Gallen, St. Gallen, Switzerland. thomas.hundsberger@kssg.ch.","Department of Radiation Oncology, Kantonsspital St. Gallen, Rorschacherstr. 95, 9007, St. Gallen, Switzerland. ludwig.plasswilm@kssg.ch.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
screening psychological distress in breast cancer patients on treatment,https://pubmed.ncbi.nlm.nih.gov/26387823/,19,09,2015,Bulletin du cancer,102,10,1769-6917,Benoîte,Méry,"Institut de cancérologie Lucien-Neuwirth, département d'oncologie médicale, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France.",Gilles-Damas,Froissart,Alexis,Vallard,Stéphane,Lallich,Sophie,Espenel,Sarah,Jouan,Julien,Langrand-Escure,Jacques,Bagur,Fabienne,Chauvin,"Pôle psychiatrie, hôpital Nord, CHU Saint-Étienne, avenue Albert-Raimond, 42270 Saint-Priest-en-Jarez cedex, France.","Institut de cancérologie Lucien-Neuwirth, département de radiothérapie, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France.","Laboratoire ERIC, université Lumière-Lyon-2, 5, avenue Pierre-Mendès-France, 69676 Bron cedex, France.","Institut de cancérologie Lucien-Neuwirth, département de radiothérapie, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France.","Pôle psychiatrie, hôpital Nord, CHU Saint-Étienne, avenue Albert-Raimond, 42270 Saint-Priest-en-Jarez cedex, France.","Institut de cancérologie Lucien-Neuwirth, département de radiothérapie, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France.","Pôle psychiatrie, hôpital Nord, CHU Saint-Étienne, avenue Albert-Raimond, 42270 Saint-Priest-en-Jarez cedex, France.","Unité parents-enfants du service de psychiatrie infanto-juvénile, Assistance publique-Hôpitaux de Marseille, 240 et 270, boulevard Sainte-Marguerite, 13009 Marseille cedex 9, France.",Majed,Ben Mrad,"Institut de cancérologie Lucien-Neuwirth, département de radiothérapie, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France.",Michèle,Ho,"Pôle psychiatrie, hôpital Nord, CHU Saint-Étienne, avenue Albert-Raimond, 42270 Saint-Priest-en-Jarez cedex, France.",Marie,Bourdis,"Pôle psychiatrie, hôpital Nord, CHU Saint-Étienne, avenue Albert-Raimond, 42270 Saint-Priest-en-Jarez cedex, France.",Manuel,Dutilleux,"Pôle psychiatrie, hôpital Nord, CHU Saint-Étienne, avenue Albert-Raimond, 42270 Saint-Priest-en-Jarez cedex, France.",Philippe,Kilendo,"Laboratoire ERIC, université Lumière-Lyon-2, 5, avenue Pierre-Mendès-France, 69676 Bron cedex, France.",Patrick,Michaud,"Institut de cancérologie Lucien-Neuwirth, département interdisciplinaire de soins de support pour le patient en oncologie, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France.",Guy,de Laroche,"Institut de cancérologie Lucien-Neuwirth, département de radiothérapie, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France.",Catherine,Massoubre,"Pôle psychiatrie, hôpital Nord, CHU Saint-Étienne, avenue Albert-Raimond, 42270 Saint-Priest-en-Jarez cedex, France.",Nicolas,Magné,"Institut de cancérologie Lucien-Neuwirth, département de radiothérapie, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France. Electronic address: nicolas.magne@icloire.fr.",,,,,,,,,,,,,,,,,,,,,
follow-up after radiotherapy of anal canal carcinoma,https://pubmed.ncbi.nlm.nih.gov/26323891/,29,08,2015,Cancer radiotherapie : journal de la Societe francaise de radiotherapie oncologique,19,6-7,1769-6658,N,Meillan,"Service d'oncologie radiothérapie, hôpital Tenon, 4, rue de la Chine, 75020 Paris, France. Electronic address: n.meillan@laposte.net.",F,Huguet,D,Peiffert,,,,,,,,,,,,,"Service d'oncologie radiothérapie, hôpital Tenon, 4, rue de la Chine, 75020 Paris, France.","Institut de cancérologie de Lorraine (Alexis-Vautrin), 6, avenue de Bourgogne, CS 30519, 54519 Vandœuvre-lès-Nancy cedex, France.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simulation-based approximate policy iteration for dynamic patient scheduling for radiation therapy,https://pubmed.ncbi.nlm.nih.gov/27766509/,20,10,2016,Health care management science,21,3,1386-9620,Yasin,Gocgun,"Department of Industrial Engineering, Istanbul Kemerburgaz University, Istanbul, Turkey. yasin.gocgun@kemerburgaz.edu.tr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost-effectiveness of dual-head 18f-fluorodeoxyglucose pet for the detection of recurrent laryngeal cancer,https://pubmed.ncbi.nlm.nih.gov/12136522/,XX,06,2002,Cancer biotherapy & radiopharmaceuticals,17,3,1084-9785,Vivian,Bongers,"Department of Nuclear Medicine, Diakonessenhuis Utrecht, Bosboomstraat 1, 3582 KE Utrecht, The Netherlands.",Monique G,Hobbelink,Peter P,van Rijk,Gert-Jan,Hordijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
applied swarm-based medicine: collecting decision trees for patterns of algorithms analysis,https://pubmed.ncbi.nlm.nih.gov/28814269/,16,08,2017,BMC medical research methodology,17,1,1471-2288,Cédric M,Panje,"Department of Radiation Oncology, Kantonsspital St. Gallen, Rorschacherstrasse 95, 9007, St. Gallen, Switzerland.",Markus,Glatzer,Joscha,von Rappard,Christian,Rothermundt,Thomas,Hundsberger,Valentin,Zumstein,Ludwig,Plasswilm,Paul Martin,Putora,,,"Department of Radiation Oncology, Kantonsspital St. Gallen, Rorschacherstrasse 95, 9007, St. Gallen, Switzerland.","Department of Nephrology, Inselspital Bern, Bern, Switzerland.","Department of Medical Oncology, Kantonsspital St. Gallen, St. Gallen, Switzerland.","Department of Medical Oncology, Kantonsspital St. Gallen, St. Gallen, Switzerland.","Department of Urology, Kantonsspital St. Gallen, St. Gallen, Switzerland.","Department of Radiation Oncology, Kantonsspital St. Gallen, Rorschacherstrasse 95, 9007, St. Gallen, Switzerland.","Department of Radiation Oncology, Kantonsspital St. Gallen, Rorschacherstrasse 95, 9007, St. Gallen, Switzerland. paulmartin.putora@kssg.ch.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treatment of cervical paragangliomas,https://pubmed.ncbi.nlm.nih.gov/23021979/,27,09,2012,"European annals of otorhinolaryngology, head and neck diseases",129,6,1879-730X,M,Makeieff,"Service d'ORL et de chirurgie cervico-faciale, pôle neuroscience tête et cou, hôpital Gui de Chauliac, CHU de Montpellier, 80, avenue Augustin-Fliche, 34295 Montpellier cedex, France. m-makeieff@chu-montpellier.fr",J,Thariat,E,Reyt,C-A,Righini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"predictive ultrasound factors of lymphatic invasion in rectal cancer: ""extra-corporeal"" study",https://pubmed.ncbi.nlm.nih.gov/21736396/,XX,06,2011,Revista espanola de enfermedades digestivas : organo oficial de la Sociedad Espanola de Patologia Digestiva,103,6,1130-0108,J M,Ramírez Rodríguez,"Department of Surgery, Hospital Clínico Universitario de Zaragoza, Spain. jramirez@unizar.es",M J,Palacios Fanlo,J,Ortego Fernández de Retana,V,Aguilella Diago,M,Martínez Díez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multitask gaussian processes for multivariate physiological time-series analysis,https://pubmed.ncbi.nlm.nih.gov/25167541/,XX,01,2015,IEEE transactions on bio-medical engineering,62,1,1558-2531,Robert,Dürichen,,Marco A F,Pimentel,Lei,Clifton,Achim,Schweikard,David A,Clifton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
screening high-risk populations for thyroid cancer,https://pubmed.ncbi.nlm.nih.gov/11340616/,XX,05,2001,Medical and pediatric oncology,36,5,0098-1532,K,Eden,"Oregon Health Sciences University, Evidence-based Practice Center, Portland, Oregon. edenk@ohsu.edu",S,Mahon,M,Helfand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the algorithms of adjuvant therapy in gliomas and their effect on survival,https://pubmed.ncbi.nlm.nih.gov/30421895/,08,11,2018,Journal of neurosurgical sciences,63,2,1827-1855,Christoph,Straube,"Department of Radiation Oncology, Klinikum rechts der Isar, Technical University of Munich (TUM), Munich, Germany.",Friederike,Schmidt-Graf,Benedikt,Wiestler,Claus,Zimmer,Bernhard,Meyer,Stephanie E,Combs,,,,,,,"Department of Neurology, Klinikum rechts der Isar, Technical University of Munich (TUM), Munich, Germany.","Department of Neuroradiology, Klinikum rechts der Isar, Technical University of Munich (TUM), Munich, Germany.","Department of Neuroradiology, Klinikum rechts der Isar, Technical University of Munich (TUM), Munich, Germany.","Department of Neurosurgery, Klinikum rechts der Isar, Technical University of Munich (TUM), Munich, Germany.","Department of Radiation Oncology, Klinikum rechts der Isar, Technical University of Munich (TUM), Munich, Germany - stephanie.combs@tum.de.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
improving the well-being of men by evaluating and addressing the gastrointestinal late effects (eagle) of radical treatment for prostate cancer: study protocol for a mixed-method implementation project,https://pubmed.ncbi.nlm.nih.gov/27697869/,03,10,2016,BMJ open,6,10,2044-6055,Sophia,Taylor,"Marie Curie Palliative Care Research Centre, School of Medicine, Cardiff University, Cardiff, UK.",Weyinmi,Demeyin,Ann,Muls,Catherine,Ferguson,Damian J J,Farnell,David,Cohen,Jervoise,Andreyev,John,Green,Lesley,Smith,"Specialist Unit for Review Evidence, Cardiff University, Cardiff, UK.","Gastroenterology Unit, Royal Marsden Hospital, London, UK.","Department of Oncology, Weston Park Hospital, Sheffield Teaching Hospitals NHS Foundation Trust, Sheffield, UK.","School of Dentistry, Cardiff University, Cardiff, UK.","Faculty of Life Sciences and Education, Health Economics and Policy Research Unit (HEPRU), University of South Wales, Cardiff, UK.","Gastroenterology Unit, Royal Marsden Hospital, London, UK.","Department of Gastroenterology, University Hospital of Llandough, Cardiff, UK.","Macmillan Cancer Support, London, UK.",Sam,Ahmedzai,"Department of Oncology, University of Sheffield, Sheffield, UK.",Sara,Pickett,"Swansea Centre for Health Economics, College of Human and Health Sciences, Swansea University, Swansea, UK.",Annmarie,Nelson,"Marie Curie Palliative Care Research Centre, School of Medicine, Cardiff University, Cardiff, UK.",John,Staffurth,"Velindre Cancer Centre, Cardiff, UK Institute of Cancer and Genetics, Cardiff University, Cardiff, UK.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anticipating the consequences for the primary therapy of breast cancer after introducing screening. a more global picture for health care policy making,https://pubmed.ncbi.nlm.nih.gov/9611902/,XX,XX,1998,International journal of technology assessment in health care,14,2,0266-4623,J M,Borràs,Catalan Institute of Oncology.,J A,Espinas,P M,Beemsterboer,A,Granados,H J,de Koning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost effectiveness of cetuximab concurrent with radiotherapy for patients with locally advanced head and neck cancer in taiwan: a decision-tree analysis,https://pubmed.ncbi.nlm.nih.gov/21744880/,01,10,2011,Clinical drug investigation,31,10,1179-1918,Agnes L F,Chan,"Department of Pharmacy, Chi Mei Medical Center, Tainan, Taiwan.",Henry W C,Leung,Shiao-Feng,Huang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"the indication area of a diagnostic test. part ii--the impact of test dependence, physician's decision strategy, and patient's utility",https://pubmed.ncbi.nlm.nih.gov/26142115/,14,05,2015,Journal of clinical epidemiology,68,10,1878-5921,Lukas J A,Stalpers,"Department of Radiotherapy, Academic Medical Center (AMC)-University of Amsterdam, Meibergdreef 9, 1105 AZ Amsterdam, The Netherlands. Electronic address: l.stalpers@amc.nl.",Patty J,Nelemans,Sandra M E,Geurts,Erik,Jansen,Peter,de Boer,André L M,Verbeek,,,,,,,"Department of Epidemiology, University of Maastricht, Peter Debyeplein 1, 6229 HA Maastricht, The Netherlands.","Radboud Institute for Health Sciences, Radboud University Medical Center, Geert Grooteplein 21, 6525 EZ Nijmegen, The Netherlands.","Department of Radiotherapy, Academic Medical Center (AMC)-University of Amsterdam, Meibergdreef 9, 1105 AZ Amsterdam, The Netherlands.","Department of Radiotherapy, Academic Medical Center (AMC)-University of Amsterdam, Meibergdreef 9, 1105 AZ Amsterdam, The Netherlands.","Radboud Institute for Health Sciences, Radboud University Medical Center, Geert Grooteplein 21, 6525 EZ Nijmegen, The Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"point/counterpoint. because of the advantages of rotational techniques, conventional imrt will soon become obsolete",https://pubmed.ncbi.nlm.nih.gov/25281937/,XX,10,2014,Medical physics,41,10,2473-4209,Richard A,Popple,"Hazelrig-Salter Radiation Oncology Center, University of Alabama Birmingham, Birmingham, Alabama 35249-6832 (Tel: 205-934-1762; E-mail: rpopple@uabmc.edu).",Peter A,Balter,Colin G,Orton,,,,,,,,,,,,,"Division of Radiation Oncology, UT MD Anderson Cancer Center, Houston, Texas 77030-0547 (Tel: 713-563-2560; E-mail: pbalter@mdanderson.org).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d visualization of brain tumors using mr images: a survey,https://pubmed.ncbi.nlm.nih.gov/31989903/,XX,XX,2019,Current medical imaging reviews,15,4,,Dina Mohammed Sherif,El-Torky,"Department of Basic Sciences, Faculty of Computers and Information Science, Ain Shams University, Cairo, Egypt.",Maryam Nabil,Al-Berry,Mohammed Abdel-Megeed,Salem,Mohamed Ismail,Roushdy,,,,,,,,,,,"Department of Basic Sciences, Faculty of Computers and Information Science, Ain Shams University, Cairo, Egypt.","Department of Basic Sciences, Faculty of Computers and Information Science, Ain Shams University, Cairo, Egypt.","Department of Basic Sciences, Faculty of Computers and Information Science, Ain Shams University, Cairo, Egypt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
considerations of cost and effectiveness in the choice of mastectomy,https://pubmed.ncbi.nlm.nih.gov/6416244/,XX,10,1983,The Australian and New Zealand journal of surgery,53,5,0004-8682,R B,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the indication area of a diagnostic test. part i--discounting gain and loss in diagnostic certainty,https://pubmed.ncbi.nlm.nih.gov/26139436/,04,06,2015,Journal of clinical epidemiology,68,10,1878-5921,Lukas J A,Stalpers,"Department of Radiotherapy, Academic Medical Center (AMC), University of Amsterdam, Meibergdreef 9, Amsterdam 1105 AZ, The Netherlands. Electronic address: l.stalpers@amc.nl.",Patty J,Nelemans,Sandra M E,Geurts,Erik,Jansen,Peter,de Boer,André L M,Verbeek,,,,,,,"Department of Epidemiology, University of Maastricht, Peter Debyeplein 1, Maastricht 6229 HA, The Netherlands.","Radboud Institute for Health Sciences, Radboud University Medical Center, Geert Grooteplein 21, Nijmegen 6525 EZ, The Netherlands.","Department of Radiotherapy, Academic Medical Center (AMC), University of Amsterdam, Meibergdreef 9, Amsterdam 1105 AZ, The Netherlands.","Department of Radiotherapy, Academic Medical Center (AMC), University of Amsterdam, Meibergdreef 9, Amsterdam 1105 AZ, The Netherlands.","Radboud Institute for Health Sciences, Radboud University Medical Center, Geert Grooteplein 21, Nijmegen 6525 EZ, The Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
